year,name,party,term,salary,position_title
1930,"Hoover,Herbert Clark",Republican,First,75000,PRESIDENT OF THE UNITED STATES
1931,"Hoover,Herbert Clark",Republican,First,75000,PRESIDENT OF THE UNITED STATES
1932,"Hoover,Herbert Clark",Republican,First,75000,PRESIDENT OF THE UNITED STATES
1933,"Roosevelt,Franklin Delano",Democratic,First,75000,PRESIDENT OF THE UNITED STATES
1934,"Roosevelt,Franklin Delano",Democratic,First,75000,PRESIDENT OF THE UNITED STATES
1935,"Roosevelt,Franklin Delano",Democratic,First,75000,PRESIDENT OF THE UNITED STATES
1936,"Roosevelt,Franklin Delano",Democratic,First,75000,PRESIDENT OF THE UNITED STATES
1937,"Roosevelt,Franklin Delano",Democratic,Second,75000,PRESIDENT OF THE UNITED STATES
1938,"Roosevelt,Franklin Delano",Democratic,Second,75000,PRESIDENT OF THE UNITED STATES
1939,"Roosevelt,Franklin Delano",Democratic,Second,75000,PRESIDENT OF THE UNITED STATES
1940,"Roosevelt,Franklin Delano",Democratic,Second,75000,PRESIDENT OF THE UNITED STATES
1941,"Roosevelt,Franklin Delano",Democratic,Third,75000,PRESIDENT OF THE UNITED STATES
1942,"Roosevelt,Franklin Delano",Democratic,Third,75000,PRESIDENT OF THE UNITED STATES
1943,"Roosevelt,Franklin Delano",Democratic,Third,75000,PRESIDENT OF THE UNITED STATES
1944,"Roosevelt,Franklin Delano",Democratic,Third,75000,PRESIDENT OF THE UNITED STATES
1945,"Truman,Harry S.",Democratic,First,75000,PRESIDENT OF THE UNITED STATES
1946,"Truman,Harry S.",Democratic,First,75000,PRESIDENT OF THE UNITED STATES
1947,"Truman,Harry S.",Democratic,First,75000,PRESIDENT OF THE UNITED STATES
1948,"Truman,Harry S.",Democratic,First,75000,PRESIDENT OF THE UNITED STATES
1949,"Truman,Harry S.",Democratic,Second,100000,PRESIDENT OF THE UNITED STATES
1950,"Truman,Harry S.",Democratic,Second,100000,PRESIDENT OF THE UNITED STATES
1951,"Truman,Harry S.",Democratic,Second,100000,PRESIDENT OF THE UNITED STATES
1952,"Truman,Harry S.",Democratic,Second,100000,PRESIDENT OF THE UNITED STATES
1953,"Eisenhower,Dwight David",Republican,First,100000,PRESIDENT OF THE UNITED STATES
1954,"Eisenhower,Dwight David",Republican,First,100000,PRESIDENT OF THE UNITED STATES
1955,"Eisenhower,Dwight David",Republican,First,100000,PRESIDENT OF THE UNITED STATES
1956,"Eisenhower,Dwight David",Republican,First,100000,PRESIDENT OF THE UNITED STATES
1957,"Eisenhower,Dwight David",Republican,Second,100000,PRESIDENT OF THE UNITED STATES
1958,"Eisenhower,Dwight David",Republican,Second,100000,PRESIDENT OF THE UNITED STATES
1959,"Eisenhower,Dwight David",Republican,Second,100000,PRESIDENT OF THE UNITED STATES
1960,"Eisenhower,Dwight David",Republican,Second,100000,PRESIDENT OF THE UNITED STATES
1961,"Kennedy,John Fitzgerald",Democratic,First,100000,PRESIDENT OF THE UNITED STATES
1962,"Kennedy,John Fitzgerald",Democratic,First,100000,PRESIDENT OF THE UNITED STATES
1963,"Johnson,Lyndon Baines",Democratic,First,100000,PRESIDENT OF THE UNITED STATES
1964,"Johnson,Lyndon Baines",Democratic,First,100000,PRESIDENT OF THE UNITED STATES
1965,"Johnson,Lyndon Baines",Democratic,First,100000,PRESIDENT OF THE UNITED STATES
1966,"Johnson,Lyndon Baines",Democratic,First,100000,PRESIDENT OF THE UNITED STATES
1967,"Johnson,Lyndon Baines",Democratic,First,100000,PRESIDENT OF THE UNITED STATES
1968,"Johnson,Lyndon Baines",Democratic,First,100000,PRESIDENT OF THE UNITED STATES
1969,"Nixon,Richard Milhous",Republican,First,200000,PRESIDENT OF THE UNITED STATES
1970,"Nixon,Richard Milhous",Republican,First,200000,PRESIDENT OF THE UNITED STATES
1971,"Nixon,Richard Milhous",Republican,First,200000,PRESIDENT OF THE UNITED STATES
1972,"Nixon,Richard Milhous",Republican,First,200000,PRESIDENT OF THE UNITED STATES
1973,"Nixon,Richard Milhous",Republican,Second,200000,PRESIDENT OF THE UNITED STATES
1974,"Ford,Gerald Rudolph",Republican,First,200000,PRESIDENT OF THE UNITED STATES
1975,"Ford,Gerald Rudolph",Republican,First,200000,PRESIDENT OF THE UNITED STATES
1976,"Ford,Gerald Rudolph",Republican,First,200000,PRESIDENT OF THE UNITED STATES
1977,"Carter,Jimmy Earl,Jr.",Democratic,First,200000,PRESIDENT OF THE UNITED STATES
1978,"Carter,Jimmy Earl,Jr.",Democratic,First,200000,PRESIDENT OF THE UNITED STATES
1979,"Carter,Jimmy Earl,Jr.",Democratic,First,200000,PRESIDENT OF THE UNITED STATES
1980,"Carter,Jimmy Earl,Jr.",Democratic,First,200000,PRESIDENT OF THE UNITED STATES
1981,"Reagan,Ronald Wilson",Republican,First,200000,PRESIDENT OF THE UNITED STATES
1982,"Reagan,Ronald Wilson",Republican,First,200000,PRESIDENT OF THE UNITED STATES
1983,"Reagan,Ronald Wilson",Republican,First,200000,PRESIDENT OF THE UNITED STATES
1984,"Reagan,Ronald Wilson",Republican,First,200000,PRESIDENT OF THE UNITED STATES
1985,"Reagan,Ronald Wilson",Republican,Second,200000,PRESIDENT OF THE UNITED STATES
1986,"Reagan,Ronald Wilson",Republican,Second,200000,PRESIDENT OF THE UNITED STATES
1987,"Reagan,Ronald Wilson",Republican,Second,200000,PRESIDENT OF THE UNITED STATES
1988,"Reagan,Ronald Wilson",Republican,Second,200000,PRESIDENT OF THE UNITED STATES
1989,"Bush,George Herbert Walker",Republican,First,200000,PRESIDENT OF THE UNITED STATES
1990,"Bush,George Herbert Walker",Republican,First,200000,PRESIDENT OF THE UNITED STATES
1991,"Bush,George Herbert Walker",Republican,First,200000,PRESIDENT OF THE UNITED STATES
1992,"Bush,George Herbert Walker",Republican,First,200000,PRESIDENT OF THE UNITED STATES
1993,"Clinton,William Jefferson",Democratic,Second,200000,PRESIDENT OF THE UNITED STATES
1994,"Clinton,William Jefferson",Democratic,Second,200000,PRESIDENT OF THE UNITED STATES
1995,"Clinton,William Jefferson",Democratic,Second,200000,PRESIDENT OF THE UNITED STATES
1996,"Clinton,William Jefferson",Democratic,Second,200000,PRESIDENT OF THE UNITED STATES
1997,"Clinton,William Jefferson",Democratic,Second,200000,PRESIDENT OF THE UNITED STATES
1998,"Clinton,William Jefferson",Democratic,Second,200000,PRESIDENT OF THE UNITED STATES
1999,"Clinton,William Jefferson",Democratic,Second,200000,PRESIDENT OF THE UNITED STATES
2000,"Clinton,William Jefferson",Democratic,Second,200000,PRESIDENT OF THE UNITED STATES
2001,"Bush,George Walker",Republican,First,400000,PRESIDENT OF THE UNITED STATES
2002,"Bush,George Walker",Republican,First,400000,PRESIDENT OF THE UNITED STATES
2003,"Bush,George Walker",Republican,First,400000,PRESIDENT OF THE UNITED STATES
2004,"Bush,George Walker",Republican,First,400000,PRESIDENT OF THE UNITED STATES
2005,"Bush,George Walker",Republican,Second,400000,PRESIDENT OF THE UNITED STATES
2006,"Bush,George Walker",Republican,Second,400000,PRESIDENT OF THE UNITED STATES
2007,"Bush,George Walker",Republican,Second,400000,PRESIDENT OF THE UNITED STATES
2008,"Bush,George Walker",Republican,Second,400000,PRESIDENT OF THE UNITED STATES
2009,"Obama,Barack Hussein,II",Democratic,First,400000,PRESIDENT OF THE UNITED STATES
2010,"Obama,Barack Hussein,II",Democratic,First,400000,PRESIDENT OF THE UNITED STATES
2011,"Obama,Barack Hussein,II",Democratic,First,400000,PRESIDENT OF THE UNITED STATES
2012,"Obama,Barack Hussein,II",Democratic,First,400000,PRESIDENT OF THE UNITED STATES
2013,"Obama,Barack Hussein,II",Democratic,Second,400000,PRESIDENT OF THE UNITED STATES
2014,"Obama,Barack Hussein,II",Democratic,Second,400000,PRESIDENT OF THE UNITED STATES
2015,"Obama,Barack Hussein,II",Democratic,Second,400000,PRESIDENT OF THE UNITED STATES
2016,"Obama,Barack Hussein,II",Democratic,Second,400000,PRESIDENT OF THE UNITED STATES
2017,"Trump,Donald John",Republican,First,400000,PRESIDENT OF THE UNITED STATES
2018,"Trump,Donald John",Republican,First,400000,PRESIDENT OF THE UNITED STATES
2019,"Trump,Donald John",Republican,First,400000,PRESIDENT OF THE UNITED STATES
2020,"Trump,Donald John",Republican,First,400000,PRESIDENT OF THE UNITED STATES
